"","Ids","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition"
"1",1461,20,3,80,11622,2,1.49,4,4,1,5,1,13,2,3,1,3,5,6,1961,1961,2,1,11,13,3,0,4,5,2,4,4,4,5,468,4,144,270,882,1,5,2,4,896,0,0,896,0,0,1,0,2,1,4,5,7,0,3.824,2,1961,3,1,730,4,5,3,140,0,0,0,120,0,1.266,3,2.896,0,6,2010,9,5
"2",1462,20,4,81,14267,2,1.166,1,4,1,1,1,13,3,3,1,3,6,6,1958,1958,4,1,12,14,2,108,4,5,2,4,4,4,1,923,6,0,406,1329,1,5,2,4,1329,0,0,1329,0,0,1,1,3,1,3,6,7,0,3.927,2,1958,3,1,312,4,5,3,393,36,0,0,0,0,1.352,2.427,1,12500,6,2010,9,5
"3",1463,60,4,74,13830,2,1.596,1,4,1,5,1,9,3,3,1,5,5,5,1997,1998,2,1,11,13,3,0,4,5,3,3,4,4,3,791,6,0,137,928,1,3,2,4,928,701,0,1629,0,0,2,1,3,1,4,6,7,1,5,2,1997,1,2,482,4,5,3,212,34,0,0,0,0,1.331,3,2.981,0,3,2010,9,5
"4",1464,60,4,78,9978,2,1.617,1,4,1,5,1,9,3,3,1,5,6,6,1998,1998,2,1,11,13,2,20,4,5,3,4,4,4,3,602,6,0,324,926,1,1,2,4,926,678,0,1604,0,0,2,1,3,1,3,7,7,1,3,2,1998,1,2,470,4,5,3,360,36,0,0,0,0,1.298,2.333,2.691,0,6,2010,9,5
"5",1465,120,4,43,5005,2,1.657,1,2,1,5,1,22,3,3,5,3,8,5,1992,1992,2,1,7,7,3,0,3,5,3,3,4,4,1,263,6,0,1017,1280,1,1,2,4,1280,0,0,1280,0,0,2,0,2,1,3,5,7,0,4.582,2,1992,2,2,506,4,5,3,0,82,0,0,144,0,1.325,2.103,2.843,0,1,2010,9,5
"6",1466,60,4,75,10000,2,1.669,1,4,1,1,1,9,3,3,1,5,6,5,1993,1994,2,1,7,7,3,0,4,5,3,3,4,4,6,0,6,0,763,763,1,3,2,4,763,892,0,1655,0,0,2,1,3,1,4,7,7,1,5,2,1993,1,2,440,4,5,3,157,84,0,0,0,0,1.312,2.2,2.754,0,4,2010,9,5
"7",1467,20,4,72.31,7980,2,1.615,1,4,1,5,1,9,3,3,1,3,6,7,1992,2007,2,1,7,7,3,0,4,3,3,3,4,4,1,935,6,0,233,1168,1,1,2,4,1187,0,0,1187,1,0,2,0,3,1,4,6,7,0,4.092,2,1992,1,2,420,4,5,3,483,21,0,0,0,0,1.346,1,3,500,3,2010,9,5
"8",1468,60,4,63,8402,2,1.619,1,4,1,5,1,9,3,3,1,5,6,5,1998,1998,2,1,11,13,3,0,4,5,3,3,4,4,6,0,6,0,789,789,1,3,2,4,789,676,0,1465,0,0,2,1,3,1,4,7,7,1,3,2,1998,1,2,393,4,5,3,0,75,0,0,0,0,1.286,2.434,2.678,0,5,2010,9,5
"9",1469,20,4,85,10176,2,1.584,4,4,1,5,1,9,3,3,1,3,7,5,1990,1990,2,1,7,7,3,0,4,5,3,3,4,2,3,637,6,0,663,1300,1,3,2,4,1341,0,0,1341,1,0,1,1,2,1,3,5,7,1,4,2,1990,3,2,506,4,5,3,192,0,0,0,0,0,1.247,2.369,2.667,0,2,2010,9,5
"10",1470,20,4,70,8400,2,1.581,4,4,1,1,1,13,3,3,1,3,4,5,1970,1970,2,1,9,10,3,0,4,5,2,4,4,4,1,804,5,78,0,882,1,5,2,4,882,0,0,882,1,0,1,0,2,1,4,4,7,0,3.457,2,1970,1,2,525,4,5,3,240,0,0,0,0,0,1.292,3,2.943,0,4,2010,9,5
"11",1471,120,3,26,5858,2,1.848,1,4,1,3,1,13,3,3,5,3,7,5,1999,1999,2,1,8,9,3,0,3,5,3,3,4,4,3,1051,2,0,354,1405,1,1,2,4,1337,0,0,1337,1,0,2,0,2,1,3,5,7,1,2,2,1999,1,2,511,4,5,3,203,68,0,0,0,0,1.287,2.016,2.621,0,6,2010,9,5
"12",1472,160,5,21,1680,2,1.722,4,4,1,5,1,3,3,3,4,5,6,5,1971,1971,2,1,7,7,2,504,4,5,2,4,4,4,5,156,6,0,327,483,1,5,2,4,483,504,0,987,0,0,1,1,2,1,4,5,7,0,3.615,6,1971,3,1,264,4,5,3,275,0,0,0,0,0,1.299,1.685,2.94,0,2,2010,1,5
"13",1473,160,5,21,1680,2,1.711,4,4,1,5,1,3,3,3,4,5,5,5,1971,1971,2,1,7,7,2,492,4,5,2,4,4,4,5,300,6,0,225,525,1,5,2,4,525,567,0,1092,0,0,1,1,3,1,4,6,7,0,3.563,6,1997,3,1,320,4,5,3,0,0,0,0,0,0,1.326,1.817,2.952,0,3,2010,9,5
"14",1474,160,4,24,2280,2,1.627,4,4,1,3,1,15,3,3,4,5,6,6,1975,1975,2,1,9,3,3,0,4,5,2,4,4,4,1,514,6,0,341,855,1,5,2,4,855,601,0,1456,0,0,2,1,3,1,3,6,7,1,5,2,1975,3,2,440,4,5,3,173,0,0,0,0,0,1.342,1.997,2.984,0,6,2010,9,5
"15",1475,120,4,24,2280,2,1.669,4,4,1,3,1,15,3,3,4,3,7,6,1975,1975,2,1,9,3,3,0,4,5,2,3,4,4,6,0,6,0,836,836,1,1,2,4,836,0,0,836,0,0,1,0,2,1,4,4,7,0,3.774,2,1975,3,1,308,4,5,3,0,30,0,0,0,0,1.282,2.109,2.937,0,6,2010,9,5
"16",1476,60,4,102,12858,2,1.487,1,4,1,5,1,16,3,3,1,5,9,5,2009,2010,2,1,11,13,4,162,1,5,3,1,4,4,6,0,6,0,1590,1590,1,1,2,4,1627,707,0,2334,0,0,2,1,3,1,1,10,7,1,3,2,2009,1,3,751,4,5,3,144,133,0,0,0,0,1.306,2.04,2.474,0,1,2010,7,6
